category,element_name,description,follow_up_strategy
decision_point,conditional_branch,"A point where the process goes one way or another based on a condition","What do you do if [condition A]? And what about when [condition B]? Is there ever a third option?"
decision_point,approval_gate,"A step that requires someone's approval before proceeding","Who approves? How long does that take? What happens if they say no?"
decision_point,prioritization,"Choosing which work to do first or how to allocate effort","How do you decide which to handle first? What criteria do you use?"
exception,error_recovery,"What happens when something goes wrong","How often does this happen? What do you do when it does? Who else gets involved?"
exception,workaround,"Informal practices not in any documented procedure","Why does this workaround exist? How long has it been in place? Does everyone do it this way?"
exception,escalation,"When the process gets handed to someone with more authority","What triggers an escalation? Who do you go to? What information do they need?"
exception,edge_case,"Unusual or rare situations that require different handling","How often does this come up? How do you know when it's happening? What's different about the process?"
loop,retry,"Steps that repeat until a condition is met","How many times might you retry? What determines when to stop? What happens if it never succeeds?"
loop,batch_processing,"Processing multiple items in a cycle","How many do you handle at once? Is there a specific order? What if one item in the batch fails?"
handoff,person_to_person,"Work passes from one person to another","How do they know it's their turn? What information do you pass along? What gets lost in translation?"
handoff,department_transfer,"Work moves between teams or departments","What's the formal handoff? Is there an informal one too? What falls through the cracks?"
handoff,system_to_system,"Data or work moves between software systems","Is it automatic or manual? What format? What happens if the transfer fails?"
system,software_tool,"A software application used during the process","What do you do in it specifically? Is there a manual alternative? How reliable is it?"
system,document_form,"A document, form, or template used or produced","Who fills it out? Where does it go? What happens to it after?"
system,equipment,"Physical equipment or machinery involved","How do you interact with it? What if it's unavailable? Who maintains it?"
input_output,trigger,"What starts this process","How do you know to begin? Is it a notification, a request, a schedule?"
input_output,deliverable,"What the process produces","What does the finished product look like? Who receives it? How do they use it?"
timing,frequency,"How often this process occurs","Is it daily, weekly, on-demand? Does the frequency vary?"
timing,duration,"How long the process or a step takes","Is that typical? What makes it take longer? Is there a deadline?"
timing,sla,"Service level agreements or time constraints","What's the expected turnaround? What happens if you miss it?"
actor,primary_performer,"The person who does this step","Is it always the same person? What role are they? Could someone else do it?"
actor,stakeholder,"Someone affected by or interested in this step","Who cares about the outcome? Who would notice if it was done wrong?"
